std_sample_name	gse_id	gsm_id	srr_id	organism	bio_rep	tech_rep	antibody_target	restriction_enzyme	sample_name
mES_25m_cells.GSE101498.Mus_Musculus.H3K27ac.b1	GSE101498	GSM2705031	SRR5831479	Mus_Musculus	1	1	H3K27ac	MboI	mES_25m_cells
mES_25m_cells.GSE101498.Mus_Musculus.H3K27ac.b1	GSE101498	GSM2705032	SRR5831480	Mus_Musculus	1	2	H3K27ac	MboI	mES_25m_cells
mES_25m_cells.GSE101498.Mus_Musculus.H3K27ac.b2	GSE101498	GSM2705033	SRR5831481	Mus_Musculus	2	1	H3K27ac	MboI	mES_25m_cells
mES_25m_cells.GSE101498.Mus_Musculus.H3K27ac.b2	GSE101498	GSM2705034	SRR5831482	Mus_Musculus	2	2	H3K27ac	MboI	mES_25m_cells
mES_500k_cells.GSE101498.Mus_Musculus.H3K27ac.b1	GSE101498	GSM2705035	SRR5831483	Mus_Musculus	1	1	H3K27ac	MboI	mES_500k_cells
mES_500k_cells.GSE101498.Mus_Musculus.H3K27ac.b2	GSE101498	GSM2705036	SRR5831484	Mus_Musculus	2	1	H3K27ac	MboI	mES_500k_cells
mES_100k_cells.GSE101498.Mus_Musculus.H3K27ac.b1	GSE101498	GSM2705037	SRR5831485	Mus_Musculus	1	1	H3K27ac	MboI	mES_100k_cells
mES_100k_cells.GSE101498.Mus_Musculus.H3K27ac.b2	GSE101498	GSM2705038	SRR5831486	Mus_Musculus	2	1	H3K27ac	MboI	mES_100k_cells
mES_50k_cells.GSE101498.Mus_Musculus.H3K27ac.b1	GSE101498	GSM2705039	SRR5831487	Mus_Musculus	1	1	H3K27ac	MboI	mES_50k_cells
mES_50k_cells.GSE101498.Mus_Musculus.H3K27ac.b2	GSE101498	GSM2705040	SRR5831488	Mus_Musculus	2	1	H3K27ac	MboI	mES_50k_cells
GM.GSE101498.Homo_Sapiens.H3K27ac.b1	GSE101498	GSM2705041	SRR5831489	Homo_Sapiens	1	1	H3K27ac	MboI	GM
GM.GSE101498.Homo_Sapiens.H3K27ac.b2	GSE101498	GSM2705042	SRR5831490	Homo_Sapiens	2	1	H3K27ac	MboI	GM
K562.GSE101498.Homo_Sapiens.H3K27ac.b1	GSE101498	GSM2705043	SRR5831491	Homo_Sapiens	1	1	H3K27ac	MboI	K562
K562.GSE101498.Homo_Sapiens.H3K27ac.b2	GSE101498	GSM2705044	SRR5831492	Homo_Sapiens	2	1	H3K27ac	MboI	K562
K562.GSE101498.Homo_Sapiens.H3K27ac.b3	GSE101498	GSM2705045	SRR5831493	Homo_Sapiens	3	1	H3K27ac	MboI	K562
MyLa.GSE101498.Homo_Sapiens.H3K27ac.b1	GSE101498	GSM2705046	SRR5831494	Homo_Sapiens	1	1	H3K27ac	MboI	MyLa
MyLa.GSE101498.Homo_Sapiens.H3K27ac.b2	GSE101498	GSM2705047	SRR5831495	Homo_Sapiens	2	1	H3K27ac	MboI	MyLa
Naive_Tcells.GSE101498.Homo_Sapiens.H3K27ac.b1	GSE101498	GSM2705048	SRR5831496	Homo_Sapiens	1	1	H3K27ac	MboI	Naive_Tcells
Naive_Tcells.GSE101498.Homo_Sapiens.H3K27ac.b2	GSE101498	GSM2705049	SRR5831497	Homo_Sapiens	2	1	H3K27ac	MboI	Naive_Tcells
Naive_Tcells.GSE101498.Homo_Sapiens.H3K27ac.b2	GSE101498	GSM2705050	SRR5831498	Homo_Sapiens	2	2	H3K27ac	MboI	Naive_Tcells
Naive_Tcells.GSE101498.Homo_Sapiens.H3K27ac.b3	GSE101498	GSM2705051	SRR5831499	Homo_Sapiens	3	1	H3K27ac	MboI	Naive_Tcells
Naive_Tcells.GSE101498.Homo_Sapiens.H3K27ac.b3	GSE101498	GSM2705052	SRR5831500	Homo_Sapiens	3	2	H3K27ac	MboI	Naive_Tcells
Th17.GSE101498.Homo_Sapiens.H3K27ac.b1	GSE101498	GSM2705053	SRR5831501	Homo_Sapiens	1	1	H3K27ac	MboI	Th17
