std_sample_name	gse_id	gsm_id	srr_id	organism	bio_rep	tech_rep	sample_index	download_job_id	download_end_status	download_read_written_status	download_present	antibody_target	restriction_enzyme	sample_name	download_log	download_output
HAVIC.GSE154512.Homo_Sapiens.H3K27ac.b1	GSE154512	GSM4672364	SRR12231664	Homo_Sapiens	1	1	1	5024387	1	1	1	H3K27ac	MboI	HAVIC	results/fastqs/raw/logs/download_srr_fastqs.o5024387-2	results/fastqs/raw/HAVIC.GSE154512.Homo_Sapiens.H3K27ac.b1/SRR12231664_2.fastq.gz
HCT116-AuxinNeg.GSE179544.Homo_Sapiens.RNA-Pol-II.b1	GSE179544	GSM5420289	SRR15050696	Homo_Sapiens	1	1	2	5028401	1	1	1	RNA-Pol-II	DpnII	HCT116-AuxinNeg	results/fastqs/raw/logs/download_srr_fastqs.o5028401-2	results/fastqs/raw/HCT116-AuxinNeg.GSE179544.Homo_Sapiens.RNA-Pol-II.b1/SRR15050696_2.fastq.gz
HCT116-AuxinPos.GSE179544.Homo_Sapiens.RNA-Pol-II.b1	GSE179544	GSM5420290	SRR15050697	Homo_Sapiens	1	1	3	5028401	1	1	1	RNA-Pol-II	DpnII	HCT116-AuxinPos	results/fastqs/raw/logs/download_srr_fastqs.o5028401-3	results/fastqs/raw/HCT116-AuxinPos.GSE179544.Homo_Sapiens.RNA-Pol-II.b1/SRR15050697_2.fastq.gz
HCT116-AuxinPos.GSE179544.Homo_Sapiens.RNA-Pol-II.b1	GSE179544	GSM5420292	SRR15050699	Homo_Sapiens	1	2	4	5028401	1	1	1	RNA-Pol-II	DpnII	HCT116-AuxinPos	results/fastqs/raw/logs/download_srr_fastqs.o5028401-4	results/fastqs/raw/HCT116-AuxinPos.GSE179544.Homo_Sapiens.RNA-Pol-II.b1/SRR15050699_2.fastq.gz
IMR90-Proliferating.GSE100856.Homo_Sapiens.CTCF.b1	GSE100856	GSM2695301	SRR5808478	Homo_Sapiens	1	1	5	5028246	1	1	0	CTCF	HindIII	IMR90-Proliferating	results/fastqs/raw/logs/download_srr_fastqs.o5028246-5	results/fastqs/raw/IMR90-Proliferating.GSE100856.Homo_Sapiens.CTCF.b1/SRR5808478_2.fastq.gz
IMR90-Senescent.GSE100856.Homo_Sapiens.CTCF.b1	GSE100856	GSM2695302	SRR5808479	Homo_Sapiens	1	1	6	5027362	1	1	0	CTCF	HindIII	IMR90-Senescent	results/fastqs/raw/logs/download_srr_fastqs.o5027362-6	results/fastqs/raw/IMR90-Senescent.GSE100856.Homo_Sapiens.CTCF.b1/SRR5808479_2.fastq.gz
HUVEC-Proliferating.GSE100856.Homo_Sapiens.CTCF.b1	GSE100856	GSM2936365	SRR6496514	Homo_Sapiens	1	1	7	5027362	1	1	0	CTCF	HindIII	HUVEC-Proliferating	results/fastqs/raw/logs/download_srr_fastqs.o5027362-7	results/fastqs/raw/HUVEC-Proliferating.GSE100856.Homo_Sapiens.CTCF.b1/SRR6496514_2.fastq.gz
HUVEC-Senescent.GSE100856.Homo_Sapiens.CTCF.b1	GSE100856	GSM2936366	SRR6496515	Homo_Sapiens	1	1	8	5027362	1	1	0	CTCF	HindIII	HUVEC-Senescent	results/fastqs/raw/logs/download_srr_fastqs.o5027362-8	results/fastqs/raw/HUVEC-Senescent.GSE100856.Homo_Sapiens.CTCF.b1/SRR6496515_2.fastq.gz
Hela-S3-Control.GSE108869.Homo_Sapiens.CTCF.b1	GSE108869	GSM2974085	SRR6657726	Homo_Sapiens	1	1	9	5028246	1	1	0	CTCF	MboI	Hela-S3-Control	results/fastqs/raw/logs/download_srr_fastqs.o5028246-9	results/fastqs/raw/Hela-S3-Control.GSE108869.Homo_Sapiens.CTCF.b1/SRR6657726_2.fastq.gz
Hela-S3-Control.GSE108869.Homo_Sapiens.CTCF.b2	GSE108869	GSM2974086	SRR6657727	Homo_Sapiens	2	1	10	5028246	1	1	0	CTCF	MboI	Hela-S3-Control	results/fastqs/raw/logs/download_srr_fastqs.o5028246-10	results/fastqs/raw/Hela-S3-Control.GSE108869.Homo_Sapiens.CTCF.b2/SRR6657727_2.fastq.gz
