std_sample_name	gse_id	gsm_id	srr_id	organism	bio_rep	tech_rep	antibody_target	restriction_enzyme	sample_name
TC71_WT.GSE133227.Homo_Sapiens.CTCF.b1	GSE133227	GSM3902827	SRR9590216	Homo_Sapiens	1	1	CTCF	MboI	TC71_WT
TC71_WT.GSE133227.Homo_Sapiens.H3K27ac.b1	GSE133227	GSM3902829	SRR9590218	Homo_Sapiens	1	1	H3K27ac	MboI	TC71_WT
TC71_WT.GSE133227.Homo_Sapiens.H3K27ac.b2	GSE133227	GSM3902830	SRR9590219	Homo_Sapiens	2	1	H3K27ac	MboI	TC71_WT
HCC15.GSE166232.Homo_Sapiens.H3K27ac.b1	GSE166232	GSM5066592	SRR13637944	Homo_Sapiens	1	1	H3K27ac	MboI	HCC15
RERFLCAI.GSE166232.Homo_Sapiens.H3K27ac.b1	GSE166232	GSM5066593	SRR13637945	Homo_Sapiens	1	1	H3K27ac	MboI	RERFLCAI
KYSE140_DMSO2hrs.GSE166232.Homo_Sapiens.H3K27ac.b1	GSE166232	GSM5066594	SRR13637946	Homo_Sapiens	1	1	H3K27ac	MboI	KYSE140_DMSO2hrs
KYSE140_DMSO2hrs.GSE166232.Homo_Sapiens.H3K27ac.b1	GSE166232	GSM5066595	SRR13637947	Homo_Sapiens	1	2	H3K27ac	MboI	KYSE140_DMSO2hrs
KYSE140_ARV2hrs.GSE166232.Homo_Sapiens.H3K27ac.b1	GSE166232	GSM5066596	SRR13637948	Homo_Sapiens	1	1	H3K27ac	MboI	KYSE140_ARV2hrs
KYSE140_ARV2hrs.GSE166232.Homo_Sapiens.H3K27ac.b1	GSE166232	GSM5066597	SRR13637949	Homo_Sapiens	1	2	H3K27ac	MboI	KYSE140_ARV2hrs
SKMES1_sg_e1_1.GSE166232.Homo_Sapiens.H3K27ac.b1	GSE166232	GSM5066600	SRR13637952	Homo_Sapiens	1	1	H3K27ac	MboI	SKMES1_sg_e1_1
SKMES1_sg_e1_1.GSE166232.Homo_Sapiens.H3K27ac.b1	GSE166232	GSM5066601	SRR13637953	Homo_Sapiens	1	2	H3K27ac	MboI	SKMES1_sg_e1_1
GM12878-HiChIP.GSE115524.Homo_Sapiens.CTCF.b1	GSE115524	GSM3424974	SRR7990656	Homo_Sapiens	1	1	CTCF	MboI	GM12878-HiChIP
GM12878-HiChIP.GSE115524.Homo_Sapiens.CTCF.b2	GSE115524	GSM3424975	SRR7990657	Homo_Sapiens	2	1	CTCF	MboI	GM12878-HiChIP
PAEC-siRNA-Ctrl.GSE152900.Homo_Sapiens.H3K27ac.b1	GSE152900	GSM5988131	SRR18552251	Homo_Sapiens	1	1	H3K27ac	MboI	PAEC-siRNA-Ctrl
PAEC-siRNA-Ctrl.GSE152900.Homo_Sapiens.H3K27ac.b2	GSE152900	GSM5988132	SRR18552250	Homo_Sapiens	2	1	H3K27ac	MboI	PAEC-siRNA-Ctrl
PAEC-siRNA-KLF2-4.GSE152900.Homo_Sapiens.H3K27ac.b1	GSE152900	GSM5988133	SRR18552249	Homo_Sapiens	1	1	H3K27ac	MboI	PAEC-siRNA-KLF2-4
PAEC-siRNA-KLF2-4.GSE152900.Homo_Sapiens.H3K27ac.b2	GSE152900	GSM5988134	SRR18552248	Homo_Sapiens	2	1	H3K27ac	MboI	PAEC-siRNA-KLF2-4
GM12878.GSE80820.Homo_Sapiens.SMC1A.b2	GSE80820	GSM2138326	SRR3467177	Homo_Sapiens	2	1	SMC1A	MboI	GM12878
GM12878.GSE80820.Homo_Sapiens.SMC1A.b2	GSE80820	GSM2138327	SRR3467178	Homo_Sapiens	2	2	SMC1A	MboI	GM12878
