std_sample_name	gse_id	organism	bio_rep	antibody_target	restriction_enzyme	sample_name
GM12878.GSE101498.Homo_Sapiens.H3K27ac.b1	GSE101498	Homo_Sapiens	1	H3K27ac	MboI	GM12878
GM12878.GSE101498.Homo_Sapiens.H3K27ac.b2	GSE101498	Homo_Sapiens	2	H3K27ac	MboI	GM12878
A673_SA1m1.GSE133227.Homo_Sapiens.CTCF.b1	GSE133227	Homo_Sapiens	1	CTCF	MboI	A673_SA1m1
A673_SA1m1.GSE133227.Homo_Sapiens.CTCF.b2	GSE133227	Homo_Sapiens	2	CTCF	MboI	A673_SA1m1
A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b1	GSE133227	Homo_Sapiens	1	CTCF	MboI	A673_SA2m1
A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b2	GSE133227	Homo_Sapiens	2	CTCF	MboI	A673_SA2m1
A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b3	GSE133227	Homo_Sapiens	3	CTCF	MboI	A673_SA2m1
A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b4	GSE133227	Homo_Sapiens	4	CTCF	MboI	A673_SA2m1
A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b5	GSE133227	Homo_Sapiens	5	CTCF	MboI	A673_SA2m1
A673_SA2m1.GSE133227.Homo_Sapiens.H3K27ac.b1	GSE133227	Homo_Sapiens	1	H3K27ac	MboI	A673_SA2m1
A673_SA2m1.GSE133227.Homo_Sapiens.H3K27ac.b2	GSE133227	Homo_Sapiens	2	H3K27ac	MboI	A673_SA2m1
A673_SA2m1.GSE133227.Homo_Sapiens.H3K27ac.b3	GSE133227	Homo_Sapiens	3	H3K27ac	MboI	A673_SA2m1
A673_SA2r.GSE133227.Homo_Sapiens.CTCF.b1	GSE133227	Homo_Sapiens	1	CTCF	MboI	A673_SA2r
A673_SA2r.GSE133227.Homo_Sapiens.CTCF.b2	GSE133227	Homo_Sapiens	2	CTCF	MboI	A673_SA2r
A673_SA2r.GSE133227.Homo_Sapiens.CTCF.b3	GSE133227	Homo_Sapiens	3	CTCF	MboI	A673_SA2r
A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac.b1	GSE133227	Homo_Sapiens	1	H3K27ac	MboI	A673_SA2r
A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac.b2	GSE133227	Homo_Sapiens	2	H3K27ac	MboI	A673_SA2r
A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac.b3	GSE133227	Homo_Sapiens	3	H3K27ac	MboI	A673_SA2r
A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac.b4	GSE133227	Homo_Sapiens	4	H3K27ac	MboI	A673_SA2r
A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac.b5	GSE133227	Homo_Sapiens	5	H3K27ac	MboI	A673_SA2r
A673_WT.GSE133227.Homo_Sapiens.CTCF.b1	GSE133227	Homo_Sapiens	1	CTCF	MboI	A673_WT
A673_WT.GSE133227.Homo_Sapiens.CTCF.b2	GSE133227	Homo_Sapiens	2	CTCF	MboI	A673_WT
A673_WT.GSE133227.Homo_Sapiens.CTCF.b3	GSE133227	Homo_Sapiens	3	CTCF	MboI	A673_WT
A673_WT.GSE133227.Homo_Sapiens.CTCF.b4	GSE133227	Homo_Sapiens	4	CTCF	MboI	A673_WT
A673_WT.GSE133227.Homo_Sapiens.CTCF.b5	GSE133227	Homo_Sapiens	5	CTCF	MboI	A673_WT
A673_WT.GSE133227.Homo_Sapiens.H3K27ac.b1	GSE133227	Homo_Sapiens	1	H3K27ac	MboI	A673_WT
A673_WT.GSE133227.Homo_Sapiens.H3K27ac.b2	GSE133227	Homo_Sapiens	2	H3K27ac	MboI	A673_WT
A673_WT.GSE133227.Homo_Sapiens.H3K27ac.b3	GSE133227	Homo_Sapiens	3	H3K27ac	MboI	A673_WT
A673_WT.GSE133227.Homo_Sapiens.H3K27ac.b4	GSE133227	Homo_Sapiens	4	H3K27ac	MboI	A673_WT
TC71_SA2m2.GSE133227.Homo_Sapiens.CTCF.b1	GSE133227	Homo_Sapiens	1	CTCF	MboI	TC71_SA2m2
TC71_SA2m2.GSE133227.Homo_Sapiens.CTCF.b2	GSE133227	Homo_Sapiens	2	CTCF	MboI	TC71_SA2m2
TC71_SA2m2.GSE133227.Homo_Sapiens.H3K27ac.b1	GSE133227	Homo_Sapiens	1	H3K27ac	MboI	TC71_SA2m2
TC71_SA2m2.GSE133227.Homo_Sapiens.H3K27ac.b2	GSE133227	Homo_Sapiens	2	H3K27ac	MboI	TC71_SA2m2
TC71_WT.GSE133227.Homo_Sapiens.CTCF.b1	GSE133227	Homo_Sapiens	1	CTCF	MboI	TC71_WT
TC71_WT.GSE133227.Homo_Sapiens.CTCF.b2	GSE133227	Homo_Sapiens	2	CTCF	MboI	TC71_WT
TC71_WT.GSE133227.Homo_Sapiens.H3K27ac.b1	GSE133227	Homo_Sapiens	1	H3K27ac	MboI	TC71_WT
TC71_WT.GSE133227.Homo_Sapiens.H3K27ac.b2	GSE133227	Homo_Sapiens	2	H3K27ac	MboI	TC71_WT
HK2.GSE147646.Homo_Sapiens.H3K27ac.b1	GSE147646	Homo_Sapiens	1	H3K27ac	MboI	HK2
KYSE140.GSE166232.Homo_Sapiens.H3K27ac.b1	GSE166232	Homo_Sapiens	1	H3K27ac	MboI	KYSE140
KYSE70.GSE166232.Homo_Sapiens.H3K27ac.b1	GSE166232	Homo_Sapiens	1	H3K27ac	MboI	KYSE70
TT.GSE166232.Homo_Sapiens.H3K27ac.b1	GSE166232	Homo_Sapiens	1	H3K27ac	MboI	TT
LK2.GSE166232.Homo_Sapiens.H3K27ac.b1	GSE166232	Homo_Sapiens	1	H3K27ac	MboI	LK2
H520.GSE166232.Homo_Sapiens.H3K27ac.b1	GSE166232	Homo_Sapiens	1	H3K27ac	MboI	H520
HCC15.GSE166232.Homo_Sapiens.H3K27ac.b1	GSE166232	Homo_Sapiens	1	H3K27ac	MboI	HCC15
RERFLCAI.GSE166232.Homo_Sapiens.H3K27ac.b1	GSE166232	Homo_Sapiens	1	H3K27ac	MboI	RERFLCAI
KYSE140_DMSO2hrs.GSE166232.Homo_Sapiens.H3K27ac.b1	GSE166232	Homo_Sapiens	1	H3K27ac	MboI	KYSE140_DMSO2hrs
KYSE140_ARV2hrs.GSE166232.Homo_Sapiens.H3K27ac.b1	GSE166232	Homo_Sapiens	1	H3K27ac	MboI	KYSE140_ARV2hrs
SKMES1_sg_NC1.GSE166232.Homo_Sapiens.H3K27ac.b1	GSE166232	Homo_Sapiens	1	H3K27ac	MboI	SKMES1_sg_NC1
SKMES1_sg_e1_1.GSE166232.Homo_Sapiens.H3K27ac.b1	GSE166232	Homo_Sapiens	1	H3K27ac	MboI	SKMES1_sg_e1_1
Hela-S3-OE.GSE108869.Homo_Sapiens.CTCF.b1	GSE108869	Homo_Sapiens	1	CTCF	MboI	Hela-S3-OE
Hela-S3-OE.GSE108869.Homo_Sapiens.CTCF.b2	GSE108869	Homo_Sapiens	2	CTCF	MboI	Hela-S3-OE
GM12878.GSE115524.Homo_Sapiens.CTCF.b1	GSE115524	Homo_Sapiens	1	CTCF	MboI	GM12878
GM12878.GSE115524.Homo_Sapiens.CTCF.b2	GSE115524	Homo_Sapiens	2	CTCF	MboI	GM12878
DEX.GSE117888.Homo_Sapiens.H3K27ac.b1	GSE117888	Homo_Sapiens	1	H3K27ac	NlaIII	DEX
DEX.GSE117888.Homo_Sapiens.H3K27ac.b2	GSE117888	Homo_Sapiens	2	H3K27ac	NlaIII	DEX
CTL.GSE117888.Homo_Sapiens.H3K27ac.b1	GSE117888	Homo_Sapiens	1	H3K27ac	NlaIII	CTL
CTL.GSE117888.Homo_Sapiens.H3K27ac.b2	GSE117888	Homo_Sapiens	2	H3K27ac	NlaIII	CTL
