std_sample_name	cellosaurus_id	gse_id	organism	bio_rep	antibody_target	restriction_enzyme	sample_name
3134_siCTRL_1hr_Dex.GSE162617.Mus_Musculus.MboI.b1	CVCL_H641	GSE162617	Mus_Musculus	1	GR	MboI	3134_siCTRL_1hr_Dex
3134_siNIPBL_1hr_Dex.GSE162617.Mus_Musculus.MboI.b1	CVCL_H641	GSE162617	Mus_Musculus	1	GR	MboI	3134_siNIPBL_1hr_Dex
3134_WT.GSE162617.Mus_Musculus.MboI.b1	CVCL_H641	GSE162617	Mus_Musculus	1	GR	MboI	3134_WT
3T3.GSE192387.Mus_Musculus.MboI.b1	CVCL_0594	GSE192387	Mus_Musculus	1	BATF	MboI	3T3
3T3.GSE192387.Mus_Musculus.MboI.b1	CVCL_0594	GSE192387	Mus_Musculus	1	CTCF	MboI	3T3
3T3_Irf4.GSE192387.Mus_Musculus.MboI.b1	CVCL_0594	GSE192387	Mus_Musculus	1	BATF	MboI	3T3_Irf4
3T3_Irf4_Runx3_Tbet.GSE192387.Mus_Musculus.MboI.b1	CVCL_0594	GSE192387	Mus_Musculus	1	BATF	MboI	3T3_Irf4_Runx3_Tbet
3T3_Norm.GSE178344.Mus_Musculus.MboI.b1	CVCL_0594	GSE178344	Mus_Musculus	1	SMC1A	MboI	3T3_Norm
3T3_TCF1.GSE178344.Mus_Musculus.MboI.b1	CVCL_0594	GSE178344	Mus_Musculus	1	SMC1A	MboI	3T3_TCF1
Adult_CTX_SSTcre.GSE150536.Mus_Musculus.MboI.b1		GSE150536	Mus_Musculus	1	H3K27ac	MboI	Adult_CTX_SSTcre
Adult_CTX_SSTcre.GSE150536.Mus_Musculus.MboI.b2		GSE150536	Mus_Musculus	2	H3K27ac	MboI	Adult_CTX_SSTcre
Adult_CTX_VIPcre.GSE150536.Mus_Musculus.MboI.b1		GSE150536	Mus_Musculus	1	H3K27ac	MboI	Adult_CTX_VIPcre
