A673-siCT-Dh1-72h-D347-D362.GSE156650.Homo_Sapiens.CTCF.b1	A673-siCT-Dh1-72h-D347-D362.GSE156650.Homo_Sapiens.CTCF.b2	A673-siCT-Dh1-72h-D347-D362.GSE156650.Homo_Sapiens.CTCF
A673-siSA2-Dh6-72h-D347-D362.GSE156650.Homo_Sapiens.CTCF.b1	A673-siSA2-Dh6-72h-D347-D362.GSE156650.Homo_Sapiens.CTCF.b2	A673-siSA2-Dh6-72h-D347-D362.GSE156650.Homo_Sapiens.CTCF
A673-siSA2-Dh8-72h-D347-D362.GSE156650.Homo_Sapiens.CTCF.b1	A673-siSA2-Dh8-72h-D347-D362.GSE156650.Homo_Sapiens.CTCF.b2	A673-siSA2-Dh8-72h-D347-D362.GSE156650.Homo_Sapiens.CTCF
A673_SA1m1.GSE133227.Homo_Sapiens.CTCF.b1	A673_SA1m1.GSE133227.Homo_Sapiens.CTCF.b2	A673_SA1m1.GSE133227.Homo_Sapiens.CTCF
A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b1	A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b2	A673_SA2m1.GSE133227.Homo_Sapiens.CTCF
A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b1	A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b3	A673_SA2m1.GSE133227.Homo_Sapiens.CTCF
A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b1	A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b4	A673_SA2m1.GSE133227.Homo_Sapiens.CTCF
A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b1	A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b5	A673_SA2m1.GSE133227.Homo_Sapiens.CTCF
A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b2	A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b3	A673_SA2m1.GSE133227.Homo_Sapiens.CTCF
A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b2	A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b4	A673_SA2m1.GSE133227.Homo_Sapiens.CTCF
A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b2	A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b5	A673_SA2m1.GSE133227.Homo_Sapiens.CTCF
A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b3	A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b4	A673_SA2m1.GSE133227.Homo_Sapiens.CTCF
A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b3	A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b5	A673_SA2m1.GSE133227.Homo_Sapiens.CTCF
A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b4	A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b5	A673_SA2m1.GSE133227.Homo_Sapiens.CTCF
A673_SA2m1.GSE133227.Homo_Sapiens.H3K27ac.b1	A673_SA2m1.GSE133227.Homo_Sapiens.H3K27ac.b2	A673_SA2m1.GSE133227.Homo_Sapiens.H3K27ac
A673_SA2m1.GSE133227.Homo_Sapiens.H3K27ac.b1	A673_SA2m1.GSE133227.Homo_Sapiens.H3K27ac.b3	A673_SA2m1.GSE133227.Homo_Sapiens.H3K27ac
A673_SA2m1.GSE133227.Homo_Sapiens.H3K27ac.b2	A673_SA2m1.GSE133227.Homo_Sapiens.H3K27ac.b3	A673_SA2m1.GSE133227.Homo_Sapiens.H3K27ac
A673_SA2r.GSE133227.Homo_Sapiens.CTCF.b1	A673_SA2r.GSE133227.Homo_Sapiens.CTCF.b2	A673_SA2r.GSE133227.Homo_Sapiens.CTCF
A673_SA2r.GSE133227.Homo_Sapiens.CTCF.b1	A673_SA2r.GSE133227.Homo_Sapiens.CTCF.b3	A673_SA2r.GSE133227.Homo_Sapiens.CTCF
A673_SA2r.GSE133227.Homo_Sapiens.CTCF.b2	A673_SA2r.GSE133227.Homo_Sapiens.CTCF.b3	A673_SA2r.GSE133227.Homo_Sapiens.CTCF
A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac.b1	A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac.b2	A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac
A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac.b1	A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac.b3	A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac
